"node"	"mean"	"sd"
"1"	1480	44.2052039964339	1.26373951952807
"2"	1741	43.951848914465	1.26373951952807
"3"	1558	33.1288025392258	1.26373951952807
"4"	2121	39.2538253235955	1.26373951952807
"5"	1596	34.23	1.26373951952807
"6"	2801	38.4365604765246	1.26373951952807
"7"	1464	37.2078981526278	1.26373951952807
"8"	2633	38.0335050635421	1.26373951952807
"9"	1717	54.52	1.26373951952807
"10"	1486	48.2083465931034	1.26373951952807
"11"	1519	41.6633926496866	1.26373951952807
"12"	1437	38.2968460677721	1.26373951952807
"13"	1528	35.469141645853	1.26373951952807
"14"	1458	30.4149372022573	1.26373951952807
"15"	1736	34.194744993063	1.26373951952807
"16"	1721	35.3513984458686	1.26373951952807
"17"	1492	37.3570681362456	1.26373951952807
"18"	1737	37.4218655988028	1.26373951952807
"19"	1438	46.7014926348103	1.26373951952807
"20"	2583	34.235853568441	1.26373951952807
"21"	2584	36.9922927479804	1.26373951952807
"22"	1457	29.6467901356585	1.26373951952807
"23"	1490	33.4772810290502	1.26373951952807
"24"	1594	38.9611828324948	1.26373951952807
"25"	1872	29.2724686158084	1.26373951952807
"26"	1710	41.7573819559927	1.26373951952807
"27"	1725	-0.00071716937243802	1.26373951952807
"28"	2408	-39.8345014242279	1.26373951952807
"29"	2156	-38.3255752882034	1.26373951952807
"30"	1743	46.4301709521704	1.26373951952807
"31"	1504	46.3957674916039	1.26373951952807
"32"	1714	38.6656862803404	1.26373951952807
"33"	1718	46.5327284202876	1.26373951952807
"34"	2681	-45.86	1.26373951952807
"35"	2152	-24.64	1.26373951952807
"36"	2656	-29.6671930757581	1.26373951952807
"37"	2707	-11.4974187399097	1.26373951952807
"38"	1705	-49.15	1.26373951952807
"39"	2193	23.7561001562041	1.26373951952807
"40"	1542	37.1558834682067	1.26373951952807
"41"	1597	34.73	1.26373951952807
"42"	1479	50.15	1.26373951952807
"43"	2020	-25.2	1.26373951952807
"44"	1921	-25.2	1.26373951952807
"45"	1889	-25.2	1.26373951952807
"46"	2079	41.4	1.26373951952807
"47"	1462	61.03	1.26373951952807
"48"	1495	47.2536293022233	1.26373951952807
"49"	1479	47.6	1.26373951952807
