collection_no	collection.authorizer	license	class_name	order_name	family_name	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	collection.reference_no	latdec	lngdec	paleolatdec	paleolngdec	ma_max	ma_min	ma_mid
13079	M. Uhen	CC BY	Aves	Avetheropoda	Spheniscidae		Spheniscus		urbani					11891	-15.580833	-74.719722	-15.84	-73.34	6.35	5.47	5.91
13079	M. Uhen	CC BY	Aves	Avetheropoda	Sulidae		Sula		sp.					11891	-15.580833	-74.719722	-15.84	-73.34	6.35	5.47	5.91
13079	M. Uhen	CC BY	Aves	Avetheropoda	Sulidae	cf.	Sula		sp.					11891	-15.580833	-74.719722	-15.84	-73.34	6.35	5.47	5.91
13090	M. Uhen		Aves	Avetheropoda			Mancalla		sp.					4361	28.366667	-115.183333	26.98	-111.73	7.24600	5.33300	6.2895
13090	M. Uhen		Aves	Phoenicopteriformes	Paloelodidae	?	Megapaloelodus		opsigonus					4361	28.366667	-115.183333	26.98	-111.73	7.24600	5.33300	6.2895
13108	M. Carrano	CC BY	Aves	Avetheropoda	Brodavidae		Brodavis	n. sp.	mongoliensis					4373	43.54	99.6	41.04	88.67	72.10000	66.00000	69.05
13264	J. Alroy	CC BY	Aves	Avetheropoda	Strigidae		Ornimegalonyx		oteroi					4396	22.583333	-83.666667	22.61	-83.47	2.58800	0.01170	1.29985
13296	J. Hunter		Aves	Avetheropoda	Accipitridae		Buteo	n. sp.	fluviaticus					4415	40.900000	-104.866667	42.16	-96.95	33.90000	33.30000	33.6
13297	J. Hunter	CC BY	Aves	Avetheropoda	Vulturidae	n. gen.	Hadrogyps	n. sp.	aigialeus					4416	35.3	-118.5	35.17	-113.32	15.97000	13.82000	14.895
13298	J. Hunter		Aves	Avetheropoda	Aegialornithidae	n. gen.	Primapus	n. sp.	lacki					4417	50.783333	-0.683333	46.25	-3.03	56.00000	47.80000	51.9
13299	J. Hunter		Aves	Avetheropoda	Pelagornithidae	n. gen.	Dasornis	n. sp.	toliapica	n. gen.	Odontopteryx	n. sp.	toliapica	4417	51.400000	0.833333	46.86	-1.64	56.00000	47.80000	51.9
13299	J. Hunter		Aves	Avetheropoda	Pelagornithidae	n. gen.	Macrodontopteryx	n. sp.	oweni					4417	51.400000	0.833333	46.86	-1.64	56.00000	47.80000	51.9
13299	J. Hunter		Aves	Avetheropoda	Pelagornithidae	n. gen.	Dasornis	n. sp.	emuinus					4417	51.400000	0.833333	46.86	-1.64	56.00000	47.80000	51.9
13299	J. Hunter		Aves	Avetheropoda	Aegialornithidae		Primapus		lacki					4417	51.400000	0.833333	46.86	-1.64	56.00000	47.80000	51.9
13300	J. Hunter	CC BY	Aves	Avetheropoda	Pelagornithidae		Pelagornis		orri		Osteodontornis		orri	4418	33.561944	-117.712222	33.30	-116.12	7.24600	3.60000	5.423
13300	J. Hunter	CC BY	Aves	Avetheropoda	Gaviidae		Gavia	n. sp.	brodkorbi					4418	33.561944	-117.712222	33.30	-116.12	7.24600	3.60000	5.423
13300	J. Hunter	CC BY	Aves	Avetheropoda	Sulidae		Morus		lompocanus					4418	33.561944	-117.712222	33.30	-116.12	7.24600	3.60000	5.423
13300	J. Hunter	CC BY	Aves	Avetheropoda	Procellariidae		Puffinus	n. sp.	barnesi					4418	33.561944	-117.712222	33.30	-116.12	7.24600	3.60000	5.423
13300	J. Hunter	CC BY	Aves	Avetheropoda	Sulidae		Morus	n. sp.	magnus					4418	33.561944	-117.712222	33.30	-116.12	7.24600	3.60000	5.423
13300	J. Hunter	CC BY	Aves	Avetheropoda	Sulidae	?	Miosula		media					4418	33.561944	-117.712222	33.30	-116.12	7.24600	3.60000	5.423
13300	J. Hunter	CC BY	Aves	Avetheropoda	Diomedeidae		Diomedea		sp.					4418	33.561944	-117.712222	33.30	-116.12	7.24600	3.60000	5.423
13300	J. Hunter	CC BY	Aves	Avetheropoda	Alcidae	?	Uria		sp.					4418	33.561944	-117.712222	33.30	-116.12	7.24600	3.60000	5.423
13300	J. Hunter	CC BY	Aves	Avetheropoda	Alcidae	?	Cepphus		sp.					4418	33.561944	-117.712222	33.30	-116.12	7.24600	3.60000	5.423
13300	J. Hunter	CC BY	Aves	Avetheropoda			Miomancalla	n. sp.	wetmorei		Praemancalla	n. sp.	wetmorei	4418	33.561944	-117.712222	33.30	-116.12	7.24600	3.60000	5.423
13300	J. Hunter	CC BY	Aves	Avetheropoda			Oceanodroma		sp.					4418	33.561944	-117.712222	33.30	-116.12	7.24600	3.60000	5.423
13301	J. Hunter		Aves	Avetheropoda			Ichthyornis	cf.	dispar					4419	39	-101	44.14	-68.72	89.30000	70.60000	79.95
13301	J. Hunter		Aves	Avetheropoda			Hesperornis		sp.					4419	39	-101	44.14	-68.72	89.30000	70.60000	79.95
13305	J. Hunter	CC BY	Aves	Avetheropoda		n. gen.	Patagopteryx	n. sp.	deferrariisi					4423	-38.953889	-68.234167	-43.53	-49.17	86.30000	83.60000	84.95
13305	J. Hunter	CC BY	Aves	Avetheropoda		n. gen.	Neuquenornis	n. sp.	volans		Enantiornithes		indet.	4423	-38.953889	-68.234167	-43.53	-49.17	86.30000	83.60000	84.95
13306	J. Hunter		Aves	Avetheropoda		n. gen.	Yacoraitichnus	n. sp.	avis					6049	-25.5	-66	-27.96	-52.48	72.10000	66.00000	69.05
13307	J. Hunter	CC BY	Aves	Avetheropoda			Martinavis		sp.					55175	-26.066667	-65.366667	-28.62	-52.05	70.60000	66.00000	68.3
13307	J. Hunter	CC BY	Aves	Avetheropoda			Enantiornis		sp.					55175	-26.066667	-65.366667	-28.62	-52.05	70.60000	66.00000	68.3
13307	J. Hunter	CC BY	Aves	Avetheropoda		n. gen.	Elbretornis	n. sp.	bonapartei					55175	-26.066667	-65.366667	-28.62	-52.05	70.60000	66.00000	68.3
13307	J. Hunter	CC BY	Aves	Avetheropoda		n. gen.	Yungavolucris	n. sp.	brevipedalis					55175	-26.066667	-65.366667	-28.62	-52.05	70.60000	66.00000	68.3
13307	J. Hunter	CC BY	Aves	Avetheropoda			Martinavis	n. sp.	vincei		Aves		indet.	55175	-26.066667	-65.366667	-28.62	-52.05	70.60000	66.00000	68.3
13307	J. Hunter	CC BY	Aves	Avetheropoda			Martinavis	n. sp.	saltariensis					55175	-26.066667	-65.366667	-28.62	-52.05	70.60000	66.00000	68.3
13307	J. Hunter	CC BY	Aves	Avetheropoda			Elbretornis		sp.					55175	-26.066667	-65.366667	-28.62	-52.05	70.60000	66.00000	68.3
13307	J. Hunter	CC BY	Aves	Avetheropoda			Martinavis	n. sp.	minor					55175	-26.066667	-65.366667	-28.62	-52.05	70.60000	66.00000	68.3
