Name_sp	alt_mean	alt_min	alt_max	latitude_mean	latitude_min	latitude_max	mean_temp	min_temp	max_temp
Amphisbaena schmidti	277.833333333333	190	328	18.3896014285714	18.33905	18.4772	241.285714285714	235	256
Anadia bitaeniata	3218	3218	3218	8.74778	8.74778	8.74778	87	87	87
Anatololacerta danfordi	669	669	669	36.48725	36.48725	36.48725	159	159	159
Anelytropsis papillosus	1417	1417	1417	22.6104726383511	22.6104726383511	22.6104726383511	200	200	200
Anisolepis grilli	571.4	26	847	-25.600094	-27.61667	-23.56714	184.4	170	197
Anniella geronimensis	29.4666666666667	1	99	30.4584779978431	30.16306	30.7458931742255	191.619047619048	187	195
Anniella pulchra	316.634803921569	-3	2974	34.6996710615627	30.3833299991762	38.0170712676483	153.109004739336	57	226
Anolis alumina	331.47619047619	8	1358	18.1035962921061	17.7867486672832	18.2562856398386	244.809523809524	163	267
Anolis armouri	1765.04347826087	414	2291	18.3056524813302	18.0835138668481	18.4464	157.130434782609	113	232
Anolis bimaculatus	52	9	95	17.38921	17.3	17.47842	260.5	260	261
Anolis carolinensis	48.4667149059334	-3	928	30.1482009536391	24.55607	35.9297	202.118240807498	116	252
Anolis centralis	140.375	27	549	20.22184375	19.93028	21.195	254.25	231	263
Anolis clivicola	1113	1113	1113	19.9833	19.9833	19.9833	194	194	194
Anolis cristifer	390	390	390	14.53417	14.53417	14.53417	262	262	262
Anolis eulaemus	1877	1853	1901	4.1245	3.56889	4.68011	183	177	189
Anolis festae	131	18	190	-1.00369125	-3.36262	-0.539	246.125	242	251
Anolis fitchi	1659	505	4085	-0.790498888888889	-1.714	-0.11667	182.666666666667	65	235
Anolis fraseri	1270	560	1902	-0.3319	-0.43333	-0.2395	189	159	229
Anolis gemmosus	1793.07894736842	585	2309	-0.165482105263158	-0.457	0.9	168.947368421053	149	228
Anolis jacare	2275.5	1594	2957	8.549165	8.5	8.59833	154.5	131	178
Anolis juangundlachi	28	28	28	22.89221	22.89221	22.89221	249	249	249
Anolis koopmani	550.5	152	686	18.2759475	18.26667	18.28333	234.25	227	256
Anolis maculigula	1617.5	1028	2033	6.5045725	6.3992	6.7339	194.5	178	211
Anolis marron	52.5	9	161	18.23139375	18.19	18.26389	261.375	250	265
Anolis megalopithecus	2033	2033	2033	6.7339	6.7339	6.7339	178	178	178
Anolis monticola	672.863636363636	385	961	18.4254504545455	18.2833	18.51667	221.363636363636	210	240
Anolis occultus	636.125	486	847	18.2556602297621	18.1185	18.301	214.75	207	221
Anolis oculatus	212	212	212	15.48933	15.48933	15.48933	245	245	245
Anolis olssoni	163.779069767442	-24	618	18.6588760508804	17.9274116278886	19.85	255.352272727273	212	279
Anolis semilineatus	526.533742331288	2	1937	18.7911901400022	18.18722	20.01667	230.357142857143	128	267
Anolis spectrum	96.5	28	142	22.65577	22.43917	22.89221	246.5	245	249
Anolis strahmi	431.5	64	554	18.2292975	18.0008	18.30589	242.5	236	262
Anolis ventrimaculatus	1521.1	966	2229	4.143497	3.21667	5.25	200.5	176	239
Anolis whitemani	144.826086956522	-23	459	18.6847046301126	18.252	19.81667	255.5	224	269
Anomalopus brevicollis	295.555555555556	91	675	-23.2064422238753	-25.3	-21.1	211.666666666667	196	221
Aparallactus capensis	1013.27480916031	10	2371	-24.713172519084	-33.296	-3.2	185.786259541985	98	259
Aphaniotis fusca	251.375	23	720	1.90308777777778	1.35515	2.8	264.111111111111	250	272
Aplopeltura boa	238.333333333333	99	312	10.6719	9.74561	12.50815	256.666666666667	242	269
Aprasia aurita	83.5	81	86	-35.551	-35.552	-35.55	158	158	158
Aristelliger lar	116.416666666667	0	313	18.5293292233876	17.9097826996478	19.75	253.076923076923	241	265
Arizona elegans	840.470994475138	-75	2400	33.4359101001883	22.4304755183026	39.9924	170.641626464507	78	255
Arrhyton taeniatum	49.6666666666667	41	56	21.6077866666667	20.02472	23.13194	253.666666666667	248	261
Asaccus elisae	516.625	73	853	32.49278875	29.52392	36.18333	222	188	252
Asaccus gallagheri	563.125	51	1555	25.77944125	25.2651	26.15033	248.125	200	279
Asaccus platyrhynchus	705.5	689	722	23.06015	23.0548	23.0655	230	230	230
Aspidoscelis arizonae	1267.05555555556	1261	1276	32.2114300994356	32.1503	32.2528712164296	159.833333333333	158	161
Aspidoscelis carmenensis	158.666666666667	28	224	25.9747733330857	25.950429999257	26.02083	235.333333333333	235	236
Aspidoscelis catalinensis	45	45	45	25.6536949996315	25.6507199992631	25.65667	238	238	238
Aspidoscelis celeripes	526	526	526	24.9824042316851	24.982239999277	24.9825684640932	217	217	217
Aspidoscelis costatus	635.568965517241	3	2023	21.2626376161671	17.8906896396001	27.1274739314855	238.98275862069	176	289
Aspidoscelis cozumela	5.83333333333333	3	12	20.3451907748921	20.2672804792572	20.5305987145876	260.875	260	261
Aspidoscelis deppei	236.628865979381	4	1466	15.8753108035175	9.96591205709235	20.2661461766375	261.877551020408	183	289
