collection_no	collection.authorizer	license	class_name	order_name	family_name	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	collection.reference_no	latdec	lngdec	paleolatdec	paleolngdec	ma_max	ma_min	ma_mid
12845	E. Fara		Reptilia	Squamata	Cordylidae		Pseudolacerta		mucronata					12515	44.383333	1.566667	42.94	-2.1	37.2	33.9	35.55
12845	E. Fara		Reptilia	Squamata	Cordylidae		Pseudolacerta		lamandini					12515	44.383333	1.566667	42.94	-2.1	37.2	33.9	35.55
12846	E. Fara		Reptilia	Squamata	Cordylidae		Pseudolacerta		mucronata					12515	44.383333	1.566667	42.94	-2.1	37.2	33.9	35.55
12847	E. Fara		Reptilia	Squamata	Cordylidae		Pseudolacerta		mucronata					12522	49.133333	3.35	47.06	-0.68	41.3	38	39.65
12848	E. Fara		Reptilia	Squamata	Cordylidae		Pseudolacerta		lamandini					11573	44.266667	1.616667	42.83	-2.05	38	33.9	35.95
12849	E. Fara		Reptilia	Squamata	Anguidae	cf.	Ophisaurus		sp.					12522	44.366667	1.731111	42.93	-1.94	38	33.9	35.95
12849	E. Fara		Reptilia	Squamata	Necrosauridae		Necrosaurus		cayluxi					12522	44.366667	1.731111	42.93	-1.94	38	33.9	35.95
12849	E. Fara		Reptilia	Squamata	Cordylidae		Pseudolacerta		lamandini					12522	44.366667	1.731111	42.93	-1.94	38	33.9	35.95
12849	E. Fara		Reptilia	Squamata	Lacertidae		Plesiolacerta	cf.	lydekkeri					12522	44.366667	1.731111	42.93	-1.94	38	33.9	35.95
12849	E. Fara		Reptilia	Squamata		?	Eurheloderma		sp.					12522	44.366667	1.731111	42.93	-1.94	38	33.9	35.95
12849	E. Fara		Reptilia	Squamata	Anguidae		Placosaurus		sp.					12522	44.366667	1.731111	42.93	-1.94	38	33.9	35.95
12850	E. Fara		Reptilia	Squamata	Necrosauridae		Necrosaurus		cayluxi					12522	44.383333	1.433333	42.94	-2.23	37.2	33.9	35.55
12850	E. Fara		Reptilia	Squamata	Cordylidae		Pseudolacerta		sp.					12522	44.383333	1.433333	42.94	-2.23	37.2	33.9	35.55
12850	E. Fara		Reptilia	Squamata	Anguidae		Placosaurus		sp.					12522	44.383333	1.433333	42.94	-2.23	37.2	33.9	35.55
12850	E. Fara		Reptilia	Squamata	Anguidae	cf.	Ophisaurus		sp.					12522	44.383333	1.433333	42.94	-2.23	37.2	33.9	35.55
12850	E. Fara		Reptilia	Squamata	Cordylidae		Pseudolacerta		lamandini					12522	44.383333	1.433333	42.94	-2.23	37.2	33.9	35.55
12851	E. Fara		Reptilia	Squamata	Cordylidae		Pseudolacerta		lamandini					12515	44.366667	1.731944	42.93	-1.94	37.2	33.9	35.55
12852	E. Fara		Reptilia	Squamata	Anguidae	cf.	Ophisaurus		sp.					8517	44.366667	1.733333	42.93	-1.94	38	33.9	35.95
12852	E. Fara		Reptilia	Squamata	Necrosauridae		Necrosaurus		cayluxi					8517	44.366667	1.733333	42.93	-1.94	38	33.9	35.95
