"node"	"mean"	"sd"
"1"	1389	43.251316362438	1.46257138503036
"2"	1440	39.2362503848291	1.46257138503036
"3"	1532	35.4562771449905	1.46257138503036
"4"	1615	25.5595789842355	1.46257138503036
"5"	1397	47.7668993460373	1.46257138503036
"6"	1302	38.9574316189084	1.46257138503036
"7"	1490	31.582446831362	1.46257138503036
"8"	1183	37.5423991253314	1.46257138503036
"9"	1505	35.4987655609521	1.46257138503036
"10"	1510	34.0112840625205	1.46257138503036
"11"	1383	33.730468052427	1.46257138503036
"12"	1496	32.9131102007632	1.46257138503036
"13"	1494	37.95	1.46257138503036
"14"	1524	33.85	1.46257138503036
"15"	1385	33.85	1.46257138503036
"16"	1405	4.24193253466792	1.46257138503036
"17"	1231	-31.5433179629454	1.46257138503036
"18"	1306	42.1917936626519	1.46257138503036
"19"	1185	40.3139410581893	1.46257138503036
"20"	1309	33.56	1.46257138503036
"21"	1339	46.0858170935139	1.46257138503036
"22"	1058	39.8006499148966	1.46257138503036
"23"	1461	44.1245130033115	1.46257138503036
"24"	1199	48.91	1.46257138503036
"25"	1436	49.0294219753383	1.46257138503036
"26"	1323	39.3604008760679	1.46257138503036
"27"	1310	-19.6	1.46257138503036
"28"	1526	32.0600401274503	1.46257138503036
"29"	1392	34.34	1.46257138503036
"30"	1093	-25.2	1.46257138503036
"31"	1145	-25.2	1.46257138503036
"32"	1420	-25.2	1.46257138503036
"33"	1503	32.55	1.46257138503036
"34"	1293	19.5979412800782	1.46257138503036
"35"	1487	36.22	1.46257138503036
"36"	1031	25.03	1.46257138503036
"37"	1039	25.03	1.46257138503036
